,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
836,Michael Sgarbossa,29,WSH,C,10,2,2,4,3,0,0.5,2,0,0,0,2,0,0,11,18.2,99,9:54,2,7,41,31,56.9
837,Yegor Sharangovich,23,NJD,C,76,24,22,46,-14,23,4.2,20,2,2,3,21,1,0,168,14.3,1255,16:30,26,30,89,131,40.5
838,Kevin Shattenkirk,33,ANA,D,82,8,27,35,-9,36,5.7,7,1,0,1,14,13,0,163,4.9,1756,21:25,135,73,0,1,0.0
839,Logan Shaw,30,OTT,RW,17,1,2,3,-3,2,0.1,1,0,0,0,2,0,0,17,5.9,159,9:23,5,11,58,57,50.4
840,Mason Shaw,23,MIN,C,3,0,0,0,-2,5,-0.1,0,0,0,0,0,0,0,7,0.0,27,8:59,1,6,1,2,33.3
841,Riley Sheahan,30,SEA,C,69,4,13,17,6,2,1.1,4,0,0,0,11,0,2,69,5.8,831,12:03,28,16,263,296,47.0
842,Conor Sheary,29,WSH,LW,71,19,24,43,-2,14,4.2,17,2,0,5,20,4,0,129,14.7,1085,15:17,44,45,11,16,40.7
843,Kiefer Sherwood,26,COL,RW,11,1,1,2,3,0,0.2,1,0,0,1,1,0,0,9,11.1,94,8:34,4,12,1,0,100.0
844,Kole Sherwood,25,NSH,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,8,8:08,0,3,0,0,
845,Devin Shore,27,EDM,C,49,5,6,11,-4,10,0.6,4,0,1,0,6,0,0,36,13.9,469,9:34,21,67,102,112,47.7
846,Jonas Siegenthaler,24,NJD,D,70,1,13,14,-5,42,2.4,1,0,0,0,12,0,1,92,1.1,1439,20:34,106,98,0,0,
847,Dylan Sikura,26,COL,C,5,0,1,1,0,0,0.0,0,0,0,0,1,0,0,3,0.0,50,9:57,3,0,0,0,
848,Jakob Silfverberg,31,ANA,LW,53,5,16,21,-3,30,1.1,4,1,0,0,12,4,0,120,4.2,903,17:02,40,16,8,16,33.3
849,Cole Sillinger,18,CBJ,C,79,16,15,31,-22,37,1.8,16,0,0,3,13,2,0,148,10.8,1082,13:42,43,98,362,417,46.5
850,Radim Simek,29,SJS,D,36,1,1,2,-13,8,0.1,1,0,0,0,1,0,0,25,4.0,478,13:17,39,96,0,0,
851,Wayne Simmonds,33,TOR,RW,72,5,11,16,-7,96,0.5,5,0,0,2,10,1,0,79,6.3,672,9:20,11,148,3,3,50.0
852,Dominik Simon,27,TOT,C,72,3,10,13,0,34,0.3,3,0,0,1,9,1,0,88,3.4,741,10:17,38,72,9,12,42.9
853,Colton Sissons,28,NSH,C,79,7,21,28,2,30,1.3,6,1,0,0,18,3,0,87,8.0,1277,16:10,44,188,719,573,55.7
854,Jeff Skinner,29,BUF,LW,80,33,30,63,-14,42,6.9,28,5,0,4,24,6,0,262,12.6,1368,17:06,20,29,91,133,40.6
855,Brady Skjei,27,CAR,D,82,9,30,39,22,48,8.0,9,0,0,0,30,0,0,184,4.9,1734,21:09,73,95,0,0,
856,Jaccob Slavin,27,CAR,D,79,4,38,42,35,10,8.9,3,1,0,0,30,6,2,165,2.4,1859,23:32,121,50,0,0,
857,Josiah Slavin,23,CHI,LW,15,0,1,1,0,4,-0.2,0,0,0,0,1,0,0,13,0.0,180,12:02,4,12,29,38,43.3
858,Brendan Smith,32,CAR,D,45,4,4,8,6,36,2.2,4,0,0,1,4,0,0,63,6.3,626,13:55,40,73,0,0,
859,C.J. Smith,27,CAR,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,9,9:22,0,1,0,0,
860,Cole Smith,26,NSH,F,8,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,3,0.0,71,8:50,1,21,0,1,0.0
861,Craig Smith,32,BOS,C,74,16,20,36,2,28,3.4,16,0,0,1,16,4,0,187,8.6,1067,14:25,28,95,4,8,33.3
862,Gemel Smith,27,DET,C,3,0,1,1,-2,5,0.0,0,0,0,0,1,0,0,1,0.0,20,6:46,1,0,6,4,60.0
863,Givani Smith,23,DET,RW,46,4,3,7,-6,108,0.2,4,0,0,0,3,0,0,50,8.0,390,8:28,20,86,1,1,50.0
864,Nathan Smith,23,ARI,C,10,2,2,4,-1,2,0.3,2,0,0,0,2,0,0,14,14.3,142,14:09,6,26,38,58,39.6
865,Reilly Smith,30,VEG,RW,56,16,22,38,4,8,3.7,11,3,2,3,16,4,2,150,10.7,996,17:47,23,55,4,4,50.0
866,Ty Smith,21,NJD,D,66,5,15,20,-26,22,1.6,5,0,0,0,11,4,0,77,6.5,1155,17:30,73,45,0,0,
867,Joe Snively,26,WSH,F,12,4,3,7,3,2,1.0,3,1,0,0,3,0,0,21,19.0,139,11:33,3,2,0,1,0.0
868,Victor Soderstrom,20,ARI,D,16,0,0,0,-7,6,-0.2,0,0,0,0,0,0,0,14,0.0,261,16:19,23,14,0,0,
869,Egor Sokolov,21,OTT,F,8,0,0,0,-6,4,-0.3,0,0,0,0,0,0,0,8,0.0,83,10:22,4,13,0,0,
870,Carson Soucy,27,SEA,D,64,10,11,21,7,47,4.7,9,0,1,1,8,2,1,97,10.3,1130,17:40,73,118,0,0,
871,Blake Speers,25,ARI,C,2,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,1,0.0,18,9:10,2,3,6,5,54.5
872,Jordan Spence,20,LAK,D,24,2,6,8,0,2,1.5,2,0,0,1,4,2,0,41,4.9,474,19:45,29,32,0,0,
873,Jason Spezza,38,TOR,C,71,12,13,25,-3,26,2.0,9,3,0,1,6,7,0,97,12.4,763,10:45,24,31,305,272,52.9
874,Daniel Sprong,24,TOT,RW,63,14,6,20,0,8,2.0,12,2,0,0,6,0,0,153,9.2,818,12:59,12,43,0,4,0.0
875,Jared Spurgeon,32,MIN,D,65,10,30,40,32,10,7.2,10,0,0,2,16,14,0,116,8.6,1375,21:09,83,44,0,0,
876,Jordan Staal,33,CAR,C,78,17,19,36,11,18,3.3,16,1,0,2,18,1,0,146,11.6,1297,16:38,29,212,736,549,57.3
877,Marc Staal,35,DET,D,71,3,13,16,-1,28,3.0,3,0,0,1,13,0,0,76,3.9,1237,17:25,75,94,0,0,
878,Steven Stamkos,31,TBL,C,81,42,64,106,24,36,12.5,26,16,0,11,44,20,0,241,17.4,1497,18:29,31,93,545,523,51.0
879,Logan Stanley,23,WPG,D,58,1,12,13,1,44,2.1,1,0,0,1,11,0,1,80,1.3,907,15:39,100,131,0,0,
880,Paul Stastny,36,WPG,C,71,21,24,45,14,14,4.8,17,4,0,2,20,4,0,141,14.9,1263,17:47,27,27,267,205,56.6
881,Troy Stecher,27,TOT,D,29,1,2,3,-7,13,0.4,1,0,0,0,2,0,0,50,2.0,483,16:40,38,33,0,0,
882,Sam Steel,23,ANA,C,68,6,14,20,-17,16,0.7,6,0,0,1,11,3,0,66,9.1,837,12:19,27,37,203,209,49.3
883,Oskar Steen,23,BOS,C,20,2,4,6,-1,6,0.4,2,0,0,0,4,0,0,25,8.0,221,11:04,8,32,1,5,16.7
884,Alex Steeves,22,TOR,F,3,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,2,0.0,24,7:58,1,1,0,0,
885,Kevin Stenlund,25,CBJ,C,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,23,7:32,2,2,1,0,100.0
886,Derek Stepan,31,CAR,C,58,9,10,19,0,14,1.6,9,0,0,0,10,0,0,96,9.4,626,10:48,25,29,248,196,55.9
887,Mitchell Stephens,24,DET,C,27,0,6,6,-8,8,-0.2,0,0,0,0,6,0,0,17,0.0,302,11:11,9,21,124,129,49.0
888,Chandler Stephenson,27,VEG,C,79,21,43,64,5,26,5.9,14,6,1,3,34,8,1,125,16.8,1526,19:19,44,68,653,602,52.0
889,Riley Stillman,23,CHI,D,52,2,10,12,-8,36,1.8,2,0,0,1,10,0,0,49,4.1,783,15:04,67,122,0,0,
890,Mark Stone,29,VEG,RW,37,9,21,30,7,8,2.9,6,3,0,2,17,3,1,71,12.7,679,18:21,24,19,13,16,44.8
891,Michael Stone,31,CGY,D,11,2,4,6,3,4,1.1,1,1,0,1,3,1,0,24,8.3,192,17:27,17,26,0,0,
892,Anton Stralman,35,ARI,D,74,8,15,23,-16,12,3.6,8,0,0,1,15,0,0,95,8.4,1579,21:20,100,99,0,0,
893,Austin Strand,24,LAK,D,8,0,2,2,-1,0,0.3,0,0,0,0,2,0,0,9,0.0,122,15:17,5,7,0,0,
894,Dylan Strome,24,CHI,C,69,22,26,48,-6,28,4.7,17,5,0,2,15,11,0,126,17.5,1203,17:26,33,11,460,419,52.3
895,Ryan Strome,28,NYR,C,74,21,33,54,15,69,5.7,15,5,1,5,24,9,0,161,13.0,1356,18:19,19,41,363,455,44.4
896,Marian Studenic,23,TOT,RW,33,2,2,4,-7,6,-0.2,2,0,0,0,2,0,0,42,4.8,368,11:09,15,25,1,3,25.0
897,Jack Studnicka,22,BOS,C,15,0,3,3,-5,4,-0.2,0,0,0,0,3,0,0,21,0.0,189,12:35,5,17,58,61,48.7
898,Nico Sturm,26,TOT,C,74,9,11,20,-7,14,0.7,7,1,1,0,11,0,0,101,8.9,881,11:54,29,99,312,277,53.0
899,Tim Stützle,20,OTT,LW,79,22,36,58,-27,37,4.8,14,7,1,4,17,19,0,176,12.5,1455,18:25,52,125,180,293,38.1
900,P.K. Subban,32,NJD,D,77,5,17,22,-8,82,3.4,5,0,0,1,16,0,1,114,4.4,1409,18:18,90,69,0,0,
901,C.J. Suess,27,WPG,LW,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,17,5:43,5,2,2,2,50.0
902,Oskar Sundqvist,27,TOT,C,59,8,15,23,5,29,1.7,8,0,0,1,15,0,0,70,11.4,826,14:00,29,70,75,107,41.2
903,Andrej Sustr,31,TOT,D,38,1,5,6,-4,16,1.0,1,0,0,0,5,0,0,28,3.6,559,14:43,36,27,0,0,
904,Pius Suter,25,DET,F,82,15,21,36,-11,22,2.3,14,0,1,3,18,3,0,166,9.0,1388,16:55,37,24,495,509,49.3
905,Ryan Suter,37,DAL,D,82,7,25,32,1,40,6.6,3,4,0,0,16,9,0,118,5.9,1940,23:39,88,46,0,0,
906,Nick Suzuki,22,MTL,C,82,21,40,61,-29,30,4.2,12,8,1,4,26,12,2,186,11.3,1682,20:31,62,89,699,711,49.6
907,Andrei Svechnikov,21,CAR,RW,78,30,39,69,19,79,7.9,21,9,0,5,26,13,0,249,12.0,1346,17:16,15,189,0,6,0.0
908,Evgeny Svechnikov,25,WPG,LW,72,7,12,19,-4,38,1.1,7,0,0,1,12,0,0,78,9.0,774,10:45,22,104,3,4,42.9
909,Brandon Tanev,30,SEA,LW,30,9,6,15,4,13,1.8,6,2,1,3,6,0,0,51,17.6,437,14:34,22,98,1,1,50.0
910,Chris Tanev,32,CGY,D,82,6,22,28,35,22,6.9,6,0,0,3,22,0,0,88,6.8,1678,20:28,158,52,0,0,
911,Vladimir Tarasenko,30,STL,RW,75,34,48,82,7,32,8.9,29,5,0,9,30,17,1,230,14.8,1268,16:55,45,83,4,7,36.4
912,Tomas Tatar,31,NJD,LW,76,15,15,30,-22,22,1.7,13,2,0,1,12,3,0,132,11.4,1127,14:50,28,75,19,31,38.0
913,John Tavares,31,TOR,C,79,27,49,76,-8,32,6.9,17,10,0,3,33,16,0,237,11.4,1428,18:04,44,90,813,529,60.6
914,Matt Tennyson,31,NSH,D,8,0,3,3,0,4,0.4,0,0,0,0,3,0,0,5,0.0,103,12:55,4,12,0,0,
915,Teuvo Teravainen,27,CAR,F,77,22,43,65,22,24,6.9,11,9,2,2,20,22,1,202,10.9,1363,17:42,30,15,24,20,54.5
916,Troy Terry,24,ANA,C,75,37,30,67,-11,26,7.7,29,8,0,7,23,7,0,192,19.3,1368,18:14,27,6,1,8,11.1
917,Alexandre Texier,22,CBJ,C,36,11,9,20,0,12,2.1,10,0,1,0,8,0,1,59,18.6,526,14:36,12,13,20,37,35.1
918,Shea Theodore,26,VEG,D,78,14,38,52,6,24,8.2,13,1,0,5,27,11,0,205,6.8,1804,23:08,97,37,0,0,
919,Robert Thomas,22,STL,C,72,20,57,77,17,16,7.3,15,3,2,6,45,11,1,115,17.4,1352,18:46,25,13,562,565,49.9
920,Nate Thompson,37,PHI,C,33,1,2,3,-15,31,-0.7,1,0,0,0,2,0,0,23,4.3,395,11:58,20,49,160,127,55.7
921,Tage Thompson,24,BUF,C,78,38,30,68,-17,37,7.7,26,10,2,4,24,6,0,253,15.0,1395,17:53,25,66,393,582,40.3
922,Tyce Thompson,22,NJD,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,29,14:25,0,2,1,0,100.0
923,Lassi Thomson,21,OTT,D,16,0,5,5,-8,2,0.3,0,0,0,0,4,1,0,18,0.0,276,17:15,9,23,0,0,
924,Joe Thornton,42,FLA,C,34,5,5,10,-10,10,0.3,2,3,0,1,5,0,0,26,19.2,378,11:06,10,20,77,98,44.0
925,Chris Tierney,27,OTT,C,70,6,12,18,-12,14,0.7,3,3,0,2,10,2,0,72,8.3,869,12:25,30,42,264,267,49.7
926,Conor Timmins,23,ARI,D,6,0,0,0,-6,0,-0.3,0,0,0,0,0,0,0,5,0.0,106,17:45,9,7,0,0,
927,Jarred Tinordi,29,NYR,D,7,1,0,1,-5,7,-0.1,1,0,0,1,0,0,0,5,20.0,90,12:51,8,17,0,0,
928,Owen Tippett,22,TOT,RW,63,10,11,21,-2,12,1.3,9,1,0,1,9,2,0,126,7.9,846,13:25,16,98,21,34,38.2
929,Vladimir Tkachev,26,LAK,F,4,0,2,2,-2,2,0.0,0,0,0,0,0,2,0,1,0.0,56,13:59,0,1,1,1,50.0
930,Brady Tkachuk,22,OTT,LW,79,30,37,67,-7,117,7.1,21,9,0,3,29,8,0,288,10.4,1485,18:48,25,270,218,217,50.1
931,Matthew Tkachuk,24,CGY,LW,82,42,62,104,57,68,13.7,30,12,0,6,45,17,0,253,16.6,1468,17:54,20,93,20,23,46.5
932,Devon Toews,27,COL,D,66,13,44,57,52,20,11.2,11,2,0,3,34,10,0,158,8.2,1674,25:22,85,54,0,0,
933,Jonathan Toews,33,CHI,C,71,12,25,37,-14,39,2.4,7,4,1,2,22,3,0,125,9.6,1241,17:29,22,25,788,548,59.0
934,Tyler Toffoli,29,TOT,C,74,20,29,49,-5,14,4.5,10,8,2,1,20,8,1,195,10.3,1206,16:18,24,81,18,16,52.9
935,Eeli Tolvanen,22,NSH,RW,75,11,12,23,-7,16,1.3,10,1,0,1,7,5,0,151,7.3,1007,13:26,45,176,0,1,0.0
936,Philip Tomasino,20,NSH,C,76,11,21,32,2,10,2.7,8,3,0,3,15,6,0,111,9.9,877,11:32,28,49,21,33,38.9
937,Dominic Toninato,27,WPG,C,77,7,7,14,1,22,1.0,6,0,1,1,3,1,3,44,15.9,647,8:24,32,92,87,118,42.4
938,Alexey Toropchenko,22,STL,RW,28,2,0,2,-9,15,-0.5,2,0,0,0,0,0,0,43,4.7,300,10:43,21,69,1,2,33.3
939,Brayden Tracey,20,ANA,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,9,9:21,0,0,0,0,
940,Yakov Trenin,25,NSH,C,80,17,7,24,7,46,2.2,17,0,0,2,7,0,0,136,12.5,1173,14:40,33,191,12,23,34.3
941,Vincent Trocheck,28,CAR,C,81,21,30,51,21,78,5.3,15,6,0,3,24,6,0,168,12.5,1448,17:52,46,185,680,565,54.6
942,Jacob Trouba,27,NYR,D,81,11,28,39,25,88,8.9,10,1,0,1,23,3,2,204,5.4,1817,22:26,177,207,0,0,
943,Alexander True,24,SEA,F,8,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,6,0.0,66,8:15,2,22,12,15,44.4
944,Alex Tuch,25,BUF,RW,50,12,26,38,-3,14,3.4,9,2,1,0,20,6,0,139,8.6,920,18:25,49,32,9,14,39.1
945,Riley Tufte,23,DAL,LW,10,1,0,1,0,4,0.1,1,0,0,0,0,0,0,5,20.0,72,7:12,4,9,1,1,50.0
946,Alex Turcotte,20,LAK,C,8,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,13,0.0,90,11:16,2,8,12,17,41.4
947,Kyle Turris,32,EDM,C,23,1,3,4,-5,4,-0.1,1,0,0,0,3,0,0,21,4.8,198,8:37,6,13,28,22,56.0
948,T.J. Tynan,29,LAK,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,22,10:51,2,1,6,7,46.2
949,Urho Vaakanainen,23,TOT,D,29,0,6,6,-5,10,0.9,0,0,0,0,5,1,0,27,0.0,560,19:19,28,27,0,0,
950,Juuso Valimaki,23,CGY,D,9,0,2,2,0,10,0.3,0,0,0,0,2,0,0,11,0.0,141,15:42,9,8,0,0,
951,James van Riemsdyk,32,PHI,LW,82,24,14,38,-33,25,2.9,15,9,0,4,14,0,0,186,12.9,1321,16:07,25,34,10,14,41.7
952,Trevor van Riemsdyk,30,WSH,D,72,1,16,17,-3,40,2.5,1,0,0,0,15,0,1,75,1.3,1258,17:28,129,25,0,0,
953,Frank Vatrano,27,TOT,LW,71,18,14,32,4,22,3.2,17,1,0,3,13,1,0,161,11.2,934,13:10,26,68,12,13,48.0
954,Mike Vecchione,28,WSH,RW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,3,0.0,5,5:06,0,0,0,0,
955,Lukas Vejdemo,26,MTL,C,6,1,0,1,-3,0,0.0,1,0,0,0,0,0,0,10,10.0,64,10:38,4,7,13,18,41.9
956,Joe Veleno,22,DET,C,66,8,7,15,-14,22,0.3,8,0,0,0,7,0,0,73,11.0,872,13:13,25,123,222,238,48.3
957,Carter Verhaeghe,26,FLA,C,78,24,31,55,24,48,5.8,24,0,0,4,28,3,0,167,14.4,1252,16:03,16,50,19,10,65.5
958,Kristian Vesalainen,22,WPG,W,53,2,1,3,-8,6,-0.6,2,0,0,0,1,0,0,43,4.7,460,8:40,14,72,0,1,0.0
959,Jimmy Vesey,28,NJD,LW,68,8,7,15,-24,12,-0.3,6,0,2,2,7,0,0,110,7.3,981,14:25,29,85,18,43,29.5
960,Jeffrey Viel,25,SJS,F,34,3,2,5,-2,114,0.3,3,0,0,0,2,0,0,30,10.0,299,8:48,11,84,4,8,33.3
961,Gabriel Vilardi,22,LAK,C,25,5,2,7,-5,8,0.5,3,2,0,1,2,0,0,41,12.2,338,13:31,9,6,60,71,45.8
962,Alex Vlasic,20,CHI,D,15,1,1,2,-2,2,0.4,1,0,0,0,1,0,0,12,8.3,215,14:19,16,15,0,0,
963,Marc-Edouard Vlasic,34,SJS,D,75,3,11,14,-22,18,1.9,3,0,0,0,11,0,0,63,4.8,1141,15:13,90,54,0,0,
964,Jakub Voracek,32,CBJ,RW,79,6,56,62,-13,44,3.7,4,2,0,2,33,23,0,147,4.1,1379,17:28,28,27,5,28,15.2
965,Jakub Vrana,25,DET,LW,26,13,6,19,-8,16,2.2,8,5,0,3,5,1,0,65,20.0,388,14:56,9,14,1,2,33.3
966,Chris Wagner,30,BOS,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,16,15:57,0,11,0,1,0.0
967,Oliver Wahlstrom,21,NYI,RW,73,13,11,24,-6,74,2.2,8,5,0,2,8,3,0,157,8.3,880,12:04,19,101,6,8,42.9
968,Nathan Walker,27,STL,C,30,8,4,12,1,2,1.3,8,0,0,2,4,0,0,38,21.1,346,11:33,22,58,8,15,34.8
969,Sean Walker,27,LAK,D,6,0,2,2,-1,4,0.2,0,0,0,0,1,1,0,18,0.0,110,18:22,9,9,0,0,
970,Jake Walman,25,TOT,D,51,3,7,10,-3,10,1.5,3,0,0,0,6,1,0,87,3.4,715,14:01,58,47,0,0,
971,Reilly Walsh,22,NJD,D,1,0,1,1,0,0,0.1,0,0,0,0,1,0,0,2,0.0,14,14:23,2,0,0,0,
972,Austin Watson,30,OTT,LW,67,10,6,16,-3,91,1.3,9,0,1,1,6,0,0,88,11.4,803,11:59,63,213,7,13,35.0
973,Jasper Weatherby,24,SJS,C,50,5,6,11,-14,18,0.3,4,1,0,0,5,1,0,45,11.1,562,11:14,24,52,173,168,50.7
974,MacKenzie Weegar,28,FLA,D,80,8,36,44,40,81,7.7,6,1,1,2,33,2,1,203,3.9,1870,23:22,156,179,0,0,
975,Alexander Wennberg,27,SEA,C,80,11,26,37,-26,28,1.6,9,2,0,2,21,4,1,95,11.6,1428,17:51,44,47,555,635,46.6
976,Zach Werenski,24,CBJ,D,68,11,37,48,-15,22,5.7,7,4,0,2,26,10,1,216,5.1,1745,25:40,95,33,0,0,
977,Blake Wheeler,35,WPG,RW,65,17,43,60,-15,36,4.8,14,3,0,2,26,17,0,167,10.2,1270,19:32,37,62,4,17,19.0
978,Colin White,25,OTT,C,24,3,7,10,-11,4,0.3,1,2,0,1,2,5,0,47,6.4,368,15:20,4,28,86,91,48.6
979,Colton White,24,NJD,D,27,0,4,4,2,8,0.9,0,0,0,0,4,0,0,18,0.0,358,13:15,14,24,0,0,
980,Zach Whitecloud,25,VEG,D,59,8,11,19,21,20,5.0,7,0,1,1,11,0,0,94,8.5,1109,18:48,115,98,0,0,
981,Chris Wideman,32,MTL,D,64,4,23,27,-25,67,1.9,4,0,0,1,11,12,0,76,5.3,952,14:53,46,44,0,0,
982,Maxwell Willman,26,PHI,C,41,4,2,6,-13,16,-0.2,4,0,0,0,2,0,0,65,6.2,483,11:46,10,53,2,5,28.6
983,Tom Wilson,27,WSH,RW,78,24,28,52,13,98,5.5,18,4,2,5,21,6,1,151,15.9,1449,18:35,55,240,22,30,42.3
984,Luke Witkowski,31,DET,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,9,9:18,0,1,0,0,
985,Christian Wolanin,26,TOT,D,9,1,1,2,-1,2,0.4,1,0,0,0,1,0,0,5,20.0,132,14:42,13,5,0,0,
986,Miles Wood,26,NJD,LW,3,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,2,0.0,44,14:46,1,5,0,0,
987,Kailer Yamamoto,23,EDM,RW,81,20,21,41,-1,40,3.4,16,3,1,4,17,3,1,114,17.5,1367,16:52,36,114,2,4,33.3
988,Keith Yandle,35,PHI,D,77,1,18,19,-47,14,-0.4,0,1,0,0,8,10,0,105,1.0,1076,13:59,40,29,0,0,
989,Jesse Ylönen,22,MTL,RW,14,2,3,5,2,2,0.5,2,0,0,0,3,0,0,16,12.5,162,11:34,4,5,0,0,
990,Cameron York,21,PHI,D,30,3,7,10,-14,6,0.8,2,1,0,0,4,3,0,33,9.1,572,19:05,40,20,0,0,
991,Pavel Zacha,24,NJD,C,70,15,21,36,-21,22,2.2,11,4,0,1,17,4,0,148,10.1,1179,16:51,18,80,189,188,50.1
992,Filip Zadina,22,DET,RW,74,10,14,24,-24,10,0.8,6,4,0,1,10,4,0,154,6.5,1049,14:11,34,57,5,5,50.0
993,Nikita Zadorov,26,CGY,D,74,4,18,22,11,77,4.1,4,0,0,0,18,0,0,106,3.8,1251,16:55,49,181,0,0,
994,Nikita Zaitsev,30,OTT,D,62,2,9,11,-7,28,2.2,2,0,0,0,7,0,2,65,3.1,1177,18:59,103,128,0,0,
995,Yegor Zamula,21,PHI,D,10,0,0,0,-6,4,-0.3,0,0,0,0,0,0,0,4,0.0,163,16:21,19,5,0,0,
996,Jakub Zboril,24,BOS,D,10,0,3,3,1,4,0.5,0,0,0,0,3,0,0,13,0.0,157,15:44,10,24,0,0,
997,Trevor Zegras,20,ANA,C,75,23,38,61,-21,50,5.4,14,9,0,5,30,8,0,181,12.7,1343,17:54,27,56,217,327,39.9
998,Fabian Zetterlund,22,NJD,W,14,3,5,8,5,0,0.9,3,0,0,0,5,0,0,36,8.3,187,13:21,7,16,2,1,66.7
999,Mika Zibanejad,28,NYR,C,81,29,52,81,30,12,9.2,13,15,1,3,35,13,4,219,13.2,1591,19:38,47,67,700,638,52.3
1000,Radim Zohorna,25,PIT,F,17,2,4,6,12,4,0.9,2,0,0,0,4,0,0,9,22.2,176,10:20,3,23,4,8,33.3
1001,Artem Zub,26,OTT,D,81,6,16,22,1,60,4.9,6,0,0,0,16,0,0,92,6.5,1704,21:02,124,155,0,0,
1002,Mats Zuccarello,34,MIN,LW,70,24,55,79,21,24,8.0,17,7,0,2,34,21,0,159,15.1,1301,18:35,33,36,21,34,38.2
1003,Jason Zucker,30,PIT,LW,41,8,9,17,-2,15,1.3,6,2,0,0,9,0,0,102,7.8,608,14:49,20,66,4,11,26.7
